tag.pm	PM(기획, 일정, 커뮤니케이션)	PM (Planning, Scheduling, Communication)	PM(企画 進行 コミュニケーション)	PM(策划 进度 沟通)	PM(企劃 進度 溝通)
project.memory-convenience-store.code.imageAlt	코드 스크린샷	Code screenshot	コードスクリーンショット	代码截图	程式碼截圖
project.memory-convenience-store.code.0.title	배열에 오브젝트 삽입	Array insert	配列にオブジェクト挿入	数组插入对象	陣列插入物件
project.memory-convenience-store.code.0.desc	자식 오브젝트들을 모두 배열에 집어넣는 방식	Put all child objects into an array	子オブジェクトを配列にまとめる方式	将所有子对象放入数组	將所有子物件放入陣列
project.memory-convenience-store.code.1.title	오브젝트 움직이기	Move object	オブジェクト移動	移动对象	移動物件
project.memory-convenience-store.code.1.desc	Touch카운트로 오브젝트를 터치좌표로 움직이며 물건을 갖다놓았는지 체크	Move by touch position and check placement	Check placement while moving by touch	根据触控坐标移动并检查是否放置	依觸控座標移動並檢查是否放置
project.memory-convenience-store.code.2.title	스테이지저장	Stage save	ステージ保存	关卡保存	關卡儲存
project.memory-convenience-store.code.2.desc	현재 스테이지를 playerprefs로 저장과 불러오기	Save and load with PlayerPrefs	PlayerPrefsで保存と読込	用 PlayerPrefs 保存与读取	用 PlayerPrefs 儲存與讀取
project.memory-convenience-store.code.3.title	GoogleAdmob	Google AdMob	GoogleAdmob	Google AdMob	Google AdMob
project.memory-convenience-store.code.3.desc	GoogleAdmob 광고기능	Ad feature with AdMob	AdMob 広告機能	AdMob 广告功能	AdMob 廣告功能
project.memory-convenience-store.code.4.title	정답 버튼 세팅	Answer button setup	正解ボタン設定	答案按钮设置	答案按鈕設定
project.memory-convenience-store.code.4.desc	스테이지 마다 빨라지는방식으로 정답으로 눌러야하는 버튼을 세팅한다	Set answers with increasing speed per stage	ステージ毎に速度が上がる方式で設定	随关卡加速设置需要按的答案按钮	隨關卡加速設定需要按的答案按鈕
